park_id,park_name,province,fiscal_year,calendar_year,month,thai_visitors,foreign_visitors,total_visitors,source_name,source_url,retrieved_at,schema_version,avg_temperature_2m_c,avg_relative_humidity_pct,total_precipitation_mm,avg_wind_speed_10m_kmh,weather_observations,pm25_max_ug_m3,pm25_exceed_days,hotspot_count
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,2,,,26232,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035128+00:00,1.0,18.782,57.537,11.1,5.18,696,,,
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,3,,,29283,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035131+00:00,1.0,23.556,47.849,0.1,5.602,744,,,
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,4,,,45488,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035134+00:00,1.0,27.032,40.432,1.8,6.516,720,,,
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,5,,,21216,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035136+00:00,1.0,25.042,62.265,53.2,5.382,744,,,
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,6,,,13170,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035139+00:00,1.0,21.724,85.426,181.6,4.703,720,,,
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,7,,,23813,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035141+00:00,1.0,21.271,88.144,181.8,4.413,744,,,
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,8,,,20204,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035143+00:00,1.0,21.382,87.859,224.4,3.993,744,,,
doi_suthep_pui,ดอยสุเทพ-ปุย,เชียงใหม่,2559,2016,9,,,13261,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035146+00:00,1.0,21.099,87.846,300.6,3.139,720,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2015,10,,,2149,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035156+00:00,1.0,22.395,85.434,74.9,3.663,744,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2015,11,,,1842,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035159+00:00,1.0,22.735,78.303,13.7,4.048,720,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2015,12,,,5859,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035161+00:00,1.0,20.813,74.507,29.3,4.081,744,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,1,,,4402,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035164+00:00,1.0,19.278,63.657,19.4,4.721,744,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,2,,,1897,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035166+00:00,1.0,21.457,56.431,1.6,5.427,696,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,3,,,1877,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035169+00:00,1.0,26.177,49.835,0.1,5.561,744,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,4,,,9265,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035171+00:00,1.0,28.9,46.025,5.1,6.297,720,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,5,,,2033,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035174+00:00,1.0,27.154,62.559,107.7,5.001,744,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,6,,,497,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035176+00:00,1.0,23.339,85.825,220.7,4.605,720,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,7,,,573,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035178+00:00,1.0,23.022,87.035,210.3,4.648,744,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,8,,,467,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035181+00:00,1.0,23.036,86.644,173.6,5.034,744,,,
mae_ping,แม่ปิง,เชียงใหม่,2559,2016,9,,,836,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035183+00:00,1.0,22.763,88.576,180.8,3.766,720,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2015,10,,,8707,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035192+00:00,1.0,24.543,86.012,56.1,3.163,744,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2015,11,,,5653,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035194+00:00,1.0,24.521,79.583,20.4,3.278,720,,,
sri_lanna,ศรีลานนา,เชียงใหม่,2559,2015,12,,,11648,dnp_tourism,https://catalog.dnp.go.th/dataset/91d66c6a-5b88-41ee-8597-11be8aec5aa6/resource/be300299-f9a3-4eac-b558-0c088dd77a64/download/tourism59-68.csv,2026-09-16T11:38:42.035197+00:00,1.0,22.513,75.745,22.7,3.717,744,,,
