park_id,calendar_year,month,avg_temperature_2m_c,avg_relative_humidity_pct,total_precipitation_mm,avg_wind_speed_10m_kmh,weather_observations,source_name,retrieved_at,schema_version
doi_inthanon,2019,4,16.152,46.562,2.7,6.265,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2019,5,14.268,80.488,211.7,5.192,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2019,6,12.667,89.986,258.2,6.379,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2019,7,11.601,94.141,345.9,6.999,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2019,8,11.663,95.528,590.4,5.993,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2019,9,11.647,89.093,268.3,4.721,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2019,10,11.835,86.34,124.1,3.219,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2019,11,10.424,80.401,55.6,3.772,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2019,12,8.348,66.007,9.8,4.695,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,1,10.872,50.278,2.7,5.135,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,2,11.586,48.603,6.1,5.84,696,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,3,14.55,43.891,4.3,6.57,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,4,15.287,52.296,82.9,6.2,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,5,14.707,75.711,115.7,5.188,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,6,12.854,88.992,344.3,5.567,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,7,12.592,90.594,436.4,5.133,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,8,11.752,94.845,585.5,5.507,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,9,12.477,91.083,357.8,3.774,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,10,11.268,88.022,180.2,4.459,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,11,10.602,79.324,45.0,4.388,720,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2020,12,8.706,72.859,13.9,4.183,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
doi_inthanon,2021,1,8.814,67.613,22.4,4.816,744,open_meteo,2026-09-16T11:38:43.484103+00:00,1.0
